Company,Event_Date,Stock_Date,Classification,Title,Significance_Score,pre_event_CAR,pre_event_AAR,pre_event_days,event_day_CAR,event_day_AAR,event_day_days,post_event_CAR,post_event_AAR,post_event_days,full_window_CAR,full_window_AAR,full_window_days
Biocon,2017-05-10,2017-05-10,Bad,Biocon downplays FDA Form 483 for Bangalore plant - Fierce Pharma,0.4598251973620654,-0.008266895292672112,-0.0027556317642240375,3,-0.03186974728534122,-0.03186974728534122,1,-0.009504752952793127,-0.003168250984264376,3,-0.04964139553080646,-0.007091627932972351,7
Biocon,2017-10-10,2017-10-09,Bad,Mylan and Biocon biosimilar of Amgen’s Neulasta hit with manufacturing-related CRL - Fierce Pharma,0.5070454545454546,0.005992809215621,0.001997603071873667,3,-0.018540268663164702,-0.018540268663164702,1,0.004710321675111696,0.001570107225037232,3,-0.007837137772432006,-0.0011195911103474294,7
Biocon,2018-02-21,2018-02-21,Bad,Plant where Biocon and Mylan will produce their Lantus copy spanked with FDA Form 483 - Fierce Pharma,0.4271385663525883,-0.022203943842907928,-0.007401314614302643,3,0.00612309174137823,0.00612309174137823,1,-0.008728444229888152,-0.004364222114944076,2,-0.024809296331417853,-0.004134882721902975,6
Biocon,2019-12-03,2019-12-03,Good,Biocon gets FDA approval to produce pegfilgrastim in India - Fierce Pharma,0.5324652289895009,0.04502884733764417,0.015009615779214724,3,0.005205016894123269,0.005205016894123269,1,0.007025614464708304,0.0023418714882361014,3,0.05725947869647575,0.008179925528067964,7
Biocon,2020-06-11,2020-06-11,Good,Mylan and Biocon Announce U.S. FDA Approval of Semglee™ (insulin glargine injection) - PR Newswire,0.5412774935554061,-0.009793351074301751,-0.003264450358100584,3,0.013661239053035422,0.013661239053035422,1,-0.006572860748678577,-0.0021909535828928592,3,-0.0027049727699449064,-0.0003864246814207009,7
Biocon,2021-06-11,2021-06-11,Good,FDA Approves Biocon's Semglee as Biosimilar to Lantus,0.5102688333040302,0.04852745951235526,0.012131864878088814,4,-0.011366877143272324,-0.011366877143272324,1,-0.012670834577624175,-0.004223611525874725,3,0.024489747791458766,0.003061218473932344,8
Biocon,2021-07-29,2021-07-29,Good,FDA Approves Biocon's Semglee as First Interchangeable Biosimilar,0.5122176094143278,-0.01286902675218189,-0.00428967558406063,3,-0.00164677917985875,-0.00164677917985875,1,-0.0026165416354627397,-0.0008721805451542466,3,-0.01713234756750338,-0.0024474782239290544,7
Biocon,2023-02-13,2023-02-13,Bad,Biocon's proposed Avastin biosim hit with FDA rejection after failed plant inspection - Fierce Pharma,0.4550700366906426,0.00635771577397122,0.0021192385913237403,3,-0.017997546912825874,-0.017997546912825874,1,-0.005698013087516114,-0.0014245032718790285,4,-0.017337844226370767,-0.002167230528296346,8
Biocon,2023-02-14,2023-02-14,Bad,"FDA Issues CRL for Biocon Biologics, Viatris Avastin Biosimilar - Center for Biosimilars",0.4609284734368329,-0.022547726228148712,-0.0075159087427162374,3,-0.006804690486041089,-0.006804690486041089,1,0.0011066773985249773,0.00036889246617499244,3,-0.028245739315664823,-0.004035105616523546,7
Biocon,2023-10-09,2023-10-09,Bad,FDA hits Biocon's insulin copycat with a CRL as plant awaits pre-approval inspection - Fierce Pharma,0.4806429728497933,-0.01614950154439768,-0.005383167181465893,3,-0.013900169066041352,-0.013900169066041352,1,-0.02115730029958182,-0.005289325074895455,4,-0.051206970910020855,-0.006400871363752607,8
Biocon,2024-05-21,2024-05-21,Good,Biocon Biologics Obtains U.S. FDA Approval for Biosimilar Aflibercept for Yesafili™. Enters U.S. Ophthalmology Market - PR Newswire,0.5389115437152878,-0.011122227923927617,-0.005561113961963808,2,0.0028348816577878485,0.0028348816577878485,1,0.03190931516950572,0.01063643838983524,3,0.02362196890336595,0.003936994817227659,6
Biocon,2024-05-21,2024-05-21,Good,"FDA Approves Biocon Biologics’ Yesafili, an Eylea Biosimilar, for the Treatment of Multiple Ophthalmic Conditions - Pharmaceutical Executive",0.5239115437152878,-0.011122227923927617,-0.005561113961963808,2,0.0028348816577878485,0.0028348816577878485,1,0.03190931516950572,0.01063643838983524,3,0.02362196890336595,0.003936994817227659,6
Biocon,2024-08-30,2024-08-30,Good,Biocon arm Biocon Pharma receives US FDA approval for Daptomycin injection - CNBC TV18,0.5443678105900815,0.0034090324755598343,0.0008522581188899586,4,-0.0012266481577306223,-0.0012266481577306223,1,0.04702405676230513,0.015674685587435042,3,0.04920644108013435,0.006150805135016793,8
Biocon,2024-09-01,2024-09-02,Good,Biocon Pharma receives USFDA approval for daptomycin - Indian Pharma Post,0.5470454545454545,0.003205708990806702,0.001068569663602234,3,0.015802185888773117,0.015802185888773117,1,0.0269229384357375,0.006730734608934375,4,0.04593083331531732,0.005741354164414665,8
Biocon,2024-12-01,2024-12-02,Good,Biocon Biologics secures US FDA approval to commercialise YESINTEK - BusinessLine,0.5470454545454545,0.021751736402250203,0.0072505788007500675,3,0.009698063048264007,0.009698063048264007,1,0.00038872666694340224,9.718166673585056e-05,4,0.03183852611745761,0.0039798157646822015,8
Biocon,2024-12-01,2024-12-02,Good,"USFDA approves Biocon Biologics' biosimilar for Crohn's disease, psoriasis - Business Standard",0.5320454545454545,0.021751736402250203,0.0072505788007500675,3,0.009698063048264007,0.009698063048264007,1,0.00038872666694340224,9.718166673585056e-05,4,0.03183852611745761,0.0039798157646822015,8
Biocon,2024-12-01,2024-12-02,Good,US FDA approves Biocon Biologics' YESINTEK for autoimmune diseases - CNBC TV18,0.4970454545454545,0.021751736402250203,0.0072505788007500675,3,0.009698063048264007,0.009698063048264007,1,0.00038872666694340224,9.718166673585056e-05,4,0.03183852611745761,0.0039798157646822015,8
Biocon,2024-12-02,2024-12-02,Good,Biocon Shares Rally 4% as Subsidiary Receives USFDA Approval - Equitypandit,0.565565996155653,0.021751736402250203,0.0072505788007500675,3,0.009698063048264007,0.009698063048264007,1,0.00038872666694340224,9.718166673585056e-05,4,0.03183852611745761,0.0039798157646822015,8
Biocon,2024-12-02,2024-12-02,Good,FDA approves Biocon biosimilar Yesintek - The Pharma Letter,0.5505659961556529,0.021751736402250203,0.0072505788007500675,3,0.009698063048264007,0.009698063048264007,1,0.00038872666694340224,9.718166673585056e-05,4,0.03183852611745761,0.0039798157646822015,8
Biocon,2024-12-02,2024-12-02,Good,"FDA Approves Biocon Biologics Ustekinumab Biosimilar, Yesintek - Center for Biosimilars",0.5505659961556529,0.021751736402250203,0.0072505788007500675,3,0.009698063048264007,0.009698063048264007,1,0.00038872666694340224,9.718166673585056e-05,4,0.03183852611745761,0.0039798157646822015,8
Biocon,2024-12-02,2024-12-02,Good,"U.S. FDA Approves Biocon Biologics' YESINTEK™, Bmab 1200 Biosimilar to J&J's Stelara® (Ustekinumab) - PR Newswire",0.5505659961556529,0.021751736402250203,0.0072505788007500675,3,0.009698063048264007,0.009698063048264007,1,0.00038872666694340224,9.718166673585056e-05,4,0.03183852611745761,0.0039798157646822015,8
Biocon,2024-12-02,2024-12-02,Good,Biocon shares rise 4% after US FDA approves Yesintek - Moneycontrol,0.515565996155653,0.021751736402250203,0.0072505788007500675,3,0.009698063048264007,0.009698063048264007,1,0.00038872666694340224,9.718166673585056e-05,4,0.03183852611745761,0.0039798157646822015,8
Biocon,2024-12-02,2024-12-02,Good,"USFDA approves Biocon Biologics Yesintek for Crohn's disease, Ulcerative Colitis, Plaque Psoriasis,... - Medical Dialogues",0.515565996155653,0.021751736402250203,0.0072505788007500675,3,0.009698063048264007,0.009698063048264007,1,0.00038872666694340224,9.718166673585056e-05,4,0.03183852611745761,0.0039798157646822015,8
Biocon,2025-01-07,2025-01-06,Good,"Biocon stock zooms over 8% on Psoriasis drug approval from Japan, Jefferies rating upgrade - Mint",0.5920454545454545,0.02024615564110748,0.006748718547035827,3,-0.020564546877219897,-0.020564546877219897,1,-0.030143660686365106,-0.010047886895455035,3,-0.030462051922477522,-0.004351721703211075,7
Biocon,2025-01-13,2025-01-13,Good,Biocon shares surge over 4% after Malaysia unit gets clearance from the USFDA - The Economic Times,0.526174830237611,-0.030143660686365106,-0.010047886895455035,3,0.018581098465042148,0.018581098465042148,1,0.05185660771451777,0.012964151928629443,4,0.04029404549319481,0.0050367556866493515,8
Biocon,2025-01-13,2025-01-13,Good,Biocon Shares Gain 4% as Malaysia Unit Gets Clearance from USFDA - Equitypandit,0.526174830237611,-0.030143660686365106,-0.010047886895455035,3,0.018581098465042148,0.018581098465042148,1,0.05185660771451777,0.012964151928629443,4,0.04029404549319481,0.0050367556866493515,8
Biocon,2025-03-24,2025-03-24,Good,Biocon subsidiary secures FDA approval for critical blood pressure medication - BusinessLine,0.5501797094790878,-0.004943707394955447,-0.001647902464985149,3,0.007662481391082746,0.007662481391082746,1,0.008616482606921593,0.002154120651730398,4,0.011335256603048892,0.0014169070753811113,8
Biocon,2025-03-24,2025-03-24,Good,Biocon rises after subsidiary gets US FDA approval for Norepinephrine Bitartrate Injection - Business Standard,0.5501797094790878,-0.004943707394955447,-0.001647902464985149,3,0.007662481391082746,0.007662481391082746,1,0.008616482606921593,0.002154120651730398,4,0.011335256603048892,0.0014169070753811113,8
Biocon,2025-03-24,2025-03-24,Good,Biocon Pharma gets USFDA approval for BP-raising injection in adults with acute hypotension - Medical Dialogues,0.5501797094790878,-0.004943707394955447,-0.001647902464985149,3,0.007662481391082746,0.007662481391082746,1,0.008616482606921593,0.002154120651730398,4,0.011335256603048892,0.0014169070753811113,8
Biocon,2025-04-10,2025-04-09,Good,"Biocon Biologics Announces U.S. FDA Approval for Jobevne™, Biosimilar Bevacizumab, Expanding Its Oncology Portfolio - PR Newswire",0.5470454545454545,-0.02177458850739072,-0.00725819616913024,3,-0.024842162594524042,-0.024842162594524042,1,0.012420597817288749,0.012420597817288749,1,-0.03419615328462602,-0.006839230656925203,5
Biocon,2025-04-10,2025-04-09,Good,Biocon Biologics receives U.S. FDA approval for Jobevne - The Hindu,0.5470454545454545,-0.02177458850739072,-0.00725819616913024,3,-0.024842162594524042,-0.024842162594524042,1,0.012420597817288749,0.012420597817288749,1,-0.03419615328462602,-0.006839230656925203,5
Biocon,2025-04-10,2025-04-09,Good,Biocon Pharma Gains US FDA Approval for Everolimus Tablets - TipRanks,0.5470454545454545,-0.02177458850739072,-0.00725819616913024,3,-0.024842162594524042,-0.024842162594524042,1,0.012420597817288749,0.012420597817288749,1,-0.03419615328462602,-0.006839230656925203,5
Biocon,2025-04-10,2025-04-09,Good,Biocon arm announces U.S. FDA approval for Jobevne - Moneycontrol,0.5470454545454545,-0.02177458850739072,-0.00725819616913024,3,-0.024842162594524042,-0.024842162594524042,1,0.012420597817288749,0.012420597817288749,1,-0.03419615328462602,-0.006839230656925203,5
Biocon,2025-04-10,2025-04-09,Good,Biocon share price rises 4% on US FDA approval for cancer drug - TradingView,0.5470454545454545,-0.02177458850739072,-0.00725819616913024,3,-0.024842162594524042,-0.024842162594524042,1,0.012420597817288749,0.012420597817288749,1,-0.03419615328462602,-0.006839230656925203,5
Biocon,2025-04-10,2025-04-09,Good,Biocon Biologics receives USFDA approval for Jobevne (Biosimilar Bevacizumab) - Business Standard,0.5470454545454545,-0.02177458850739072,-0.00725819616913024,3,-0.024842162594524042,-0.024842162594524042,1,0.012420597817288749,0.012420597817288749,1,-0.03419615328462602,-0.006839230656925203,5
Biocon,2025-04-10,2025-04-09,Good,"Biocon Biologics gets US FDA approval for Biosimilar Bevacizumab, expanding oncology portfolio - BioSpectrum India",0.5470454545454545,-0.02177458850739072,-0.00725819616913024,3,-0.024842162594524042,-0.024842162594524042,1,0.012420597817288749,0.012420597817288749,1,-0.03419615328462602,-0.006839230656925203,5
Biocon,2025-04-10,2025-04-09,Good,"Biocon Biologics secures US FDA approval for Biosimilar Bevacizumab, JOBEVNE - Express Pharma",0.5470454545454545,-0.02177458850739072,-0.00725819616913024,3,-0.024842162594524042,-0.024842162594524042,1,0.012420597817288749,0.012420597817288749,1,-0.03419615328462602,-0.006839230656925203,5
Biocon,2025-04-10,2025-04-09,Good,Biocon Subsidiary Secures USFDA Approval - Equitypandit,0.5470454545454545,-0.02177458850739072,-0.00725819616913024,3,-0.024842162594524042,-0.024842162594524042,1,0.012420597817288749,0.012420597817288749,1,-0.03419615328462602,-0.006839230656925203,5
Biocon,2025-04-10,2025-04-09,Good,Biocon Biologics bags US FDA approval for Jobevne to treat cancer - IndiaMedToday,0.5470454545454545,-0.02177458850739072,-0.00725819616913024,3,-0.024842162594524042,-0.024842162594524042,1,0.012420597817288749,0.012420597817288749,1,-0.03419615328462602,-0.006839230656925203,5
Biocon,2025-04-10,2025-04-09,Good,Pharma stock in focus: Biocon arm announces USFDA approval for Jobevne - Business Today,0.5470454545454545,-0.02177458850739072,-0.00725819616913024,3,-0.024842162594524042,-0.024842162594524042,1,0.012420597817288749,0.012420597817288749,1,-0.03419615328462602,-0.006839230656925203,5
Biocon,2025-04-10,2025-04-09,Good,FDA Approves Biocon Biologics' Bevacizumab Biosimilar - Center for Biosimilars,0.5320454545454545,-0.02177458850739072,-0.00725819616913024,3,-0.024842162594524042,-0.024842162594524042,1,0.012420597817288749,0.012420597817288749,1,-0.03419615328462602,-0.006839230656925203,5
Biocon,2025-04-10,2025-04-09,Good,FDA Approves Biocon’s Avastin Biosimilar - Managed Healthcare Executive,0.5320454545454545,-0.02177458850739072,-0.00725819616913024,3,-0.024842162594524042,-0.024842162594524042,1,0.012420597817288749,0.012420597817288749,1,-0.03419615328462602,-0.006839230656925203,5
Biocon,2025-04-10,2025-04-09,Good,"Biocon Says U.S. FDA Approves Biocon Biologics's Bevacizumab Biosimilar, Jobevne - MarketScreener",0.5320454545454545,-0.02177458850739072,-0.00725819616913024,3,-0.024842162594524042,-0.024842162594524042,1,0.012420597817288749,0.012420597817288749,1,-0.03419615328462602,-0.006839230656925203,5
Biocon,2025-04-11,2025-04-11,Good,Biocon Biologics secures FDA approval for Avastin biosimilar Jobevne - World Pharmaceutical Frontiers,0.5722022231425704,-0.031106201087427055,-0.010368733695809018,3,0.012420597817288749,0.012420597817288749,1,0.012970239568658065,0.006485119784329032,2,-0.005715363701480241,-0.0009525606169133735,6
Biocon,2025-04-11,2025-04-11,Good,Biocon Biologics secures FDA approval for cancer drug Jobevne - BusinessLine,0.5722022231425704,-0.031106201087427055,-0.010368733695809018,3,0.012420597817288749,0.012420597817288749,1,0.012970239568658065,0.006485119784329032,2,-0.005715363701480241,-0.0009525606169133735,6
Biocon,2025-04-11,2025-04-11,Good,Biocon arm secures USFDA approval for Everolimus Tablets for prophylaxis of organ rejection in adult... - Medical Dialogues,0.5722022231425704,-0.031106201087427055,-0.010368733695809018,3,0.012420597817288749,0.012420597817288749,1,0.012970239568658065,0.006485119784329032,2,-0.005715363701480241,-0.0009525606169133735,6
Biocon,2025-04-11,2025-04-11,Good,"Biocon Shares in Focus, Strengthens US Oncology Footprint with Biosimilar Approval - Groww",0.5722022231425704,-0.031106201087427055,-0.010368733695809018,3,0.012420597817288749,0.012420597817288749,1,0.012970239568658065,0.006485119784329032,2,-0.005715363701480241,-0.0009525606169133735,6
Biocon,2025-04-11,2025-04-11,Good,FDA approves Biocon Biologics’ bevacizumab biosimilar for cancer - Pharmaceutical Technology,0.5572022231425704,-0.031106201087427055,-0.010368733695809018,3,0.012420597817288749,0.012420597817288749,1,0.012970239568658065,0.006485119784329032,2,-0.005715363701480241,-0.0009525606169133735,6
Dr. Reddy's,2015-11-25,2015-11-24,Bad,Premium: US FDA Warning Letter to Dr. Reddy’s – Here is an Additional Update - Capitalmind,0.4840909090909091,0.02124714859343803,0.007082382864479343,3,0.002894296358584238,0.002894296358584238,1,-0.00504486368498089,-0.00504486368498089,1,0.019096581267041376,0.0038193162534082754,5
Dr. Reddy's,2015-11-26,2015-11-27,Bad,Warning letter: USFDA flags ‘serious violations’ at Dr Reddy’s - The Indian Express,0.4670454545454546,0.015734166337998203,0.007867083168999102,2,-0.00504486368498089,-0.00504486368498089,1,0.03223235964430985,0.010744119881436616,3,0.04292166229732716,0.007153610382887861,6
